LIEBERMAN, JOSEPH I|C00235515|DEM|CT|06123
GRANATO, SAMUEL FRANK|C00463141|DEM|UT|841271549
LEVITT, DAVID ALEX|C00510784|DEM|CA|95472
BIVENS, DON|C00498758|DEM|AZ|850426951
JONES, LEROY DEAN|C00446112|DEM|KS|66282
SPRING, LEWIS KELLY|C00484097|REP|OK|74743
AALDERS, TIMOTHY NOEL|C00512632|REP|UT|84003
FREILICH, DANIEL|C00468058|DEM|VT|053631410
KURITA, ROSALIND|C00409060|DEM|TN|37043
DEL VECCHIO, KENNETH|C00516740|LIB|NJ|07470
ALLEN, ADDIE DAINELL|C00509323|DEM|TX|77707
AGBEDE, AKINYEMI|C00495192|REP|FL|32789
HELLER, DEAN|C00494229|REP|NV|89137
WARNER, JOHN WILLIAM|C00384677|REP|VA|22116
CRAMER, THOMAS EVERETT|C00514927|CST|AL|35804
KALK, BRIAN |C00492207|REP|VA|22101
CROWELL, SHAUN E DR|C00518589|IND|TN|37174
KUNA, THOMAS JAMES|C00464115|REP|IL|620521767
WOERNER, ANDREW DOUGLAS|C00478248|DEM|HI|96740
FENNER, CHRISTOPHER G|C00445031|IND|TN|37763
KEAN, THOMAS H JR|C00410365|REP|NJ|07067
DILL, CYNTHIA ANN|C00511261|DEM|ME|04107
LANDRIEU, MARY L|C00325126|DEM|DC|20003
HEINRICH, MARTIN TREVOR|C00434563|DEM|NM|87125
SIMMONS, ROBERT R|C00460139|REP|CT|063780268
BENNETT, ROBERT F|C00343327|REP|UT|84101
PIPKIN, E J|C00391870|REP|MD|21666
DONNELLY, JOSEPH S|C00393652|DEM|IN|46204
BELLIS, JOSEPH K III|C00473801|REF|KS|66212
BOXER, BARBARA|C00279315|DEM|CA|90041
PACKER, MELVIN JOSEPH|C00478255|GRE|PA|15208
WELDON, DAVID JOSEPH|C00521450|REP|FL|329361845
BOSS, JEFF|C00490714|IND|NJ|07093
WESTBY, KIE|C00504696|REP|CT|06488
KHAZEI, ALAN|C00495879|DEM|MA|02445
BAKER, GILBERT|C00466649|REP|AR|72034
SEVERSON, DANIEL MARK (DOC)|C00497057|REP|MN|56379
PARSON, BILLY|C00461533|REP|NV|89025
BENTON, DON|C00475699|REP|WA|98668
WRIGHT, MARY D|C00423947|IND|TN|38106
FRYE, TIMOTHY LEE|C00474502|IND|IN|46142
MILLER, JOSEPH W|C00522730|REP|AK|99707
LAPORTE, DANY|C00518746|DEM|RI|02863
BINNIE, WILLIAM H|C00469841|REP|NH|03870
GORDON, MILTON C JR|C00476069|REP|LA|71303
BROADUS, ROBERT|C00509281|REP|MD|20735
EVANS, MERVIN L|C00502732|DEM|CA|
SULLIVAN, P TOM|C00478941|DEM|ID|83422
BOND, CHRISTOPHER S|C00216705|REP|MO|
WILLIAMS, ROGER|C00457846|REP|TX|78767
LEITCH, GORDON|C00447540|REP|OR|97115
COUGHLIN, KEVIN J|C00495374|REP|OH|44223
PAUL, RAND|C00496075|REP|KY|42101
LUNDY, WILLIAM|C00466631|REP|AZ|86404
PLOWMAN, DEBRA D.|C00519348|REP|ME|04444
SESSIONS, JEFF|C00306704|REP|AL|36103
COLLINS, SUSAN M|C00314575|REP|ME|04401
CHICHESTER, TIMOTHY A|C00479667|REP|NY|12017
BAYH, EVAN|C00306860|DEM|IN|46204
WEEKS, DAVID KENNETH|C00507376|OTH|FL|33603
BEGICH, MARK|C00458059|DEM|AK|99645
MURRAY, PATTY|C00257642|DEM|WA|98124
SCHUMER, CHARLES E|C00346312|DEM|NY|10016
CHRISTENSEN, CHAD RYAN|C00476077|REP|NV|89135
LOTT, C TRENT|C00219220|REP|MS|39225
FITZGERALD, JEFF|C00503227|REP|WI|53032
WYLAND, MARK|C00527655|REP|CA|
SCOTT, TIMOTHY E|C00540302|REP|SC|29407
BLASS, PIOTR|C00459958|UNK|FL|33436
DEFRANCO, MARISA ANN|C00494450|DEM|MA|01949
CHISHOLM, JAMES KEVIN|C00497370|IND|VA|22202
O'DONNELL, CHRISTINE|C00449595|REP|DE|19807
ROCKEFELLER, JOHN DAVISON IV|C00416826|DEM|WV|25314
BLUNT, ROY|C00304758|REP|MO|65805
GROFF, ANDREW R|C00522201|GRE|DE|19803
MCMULLEN, JOHN A|C00334029|REP|VT|05401
HALTER, WILLIAM A|C00477711|DEM|AR|72116
JONES, RYAN JEFFERSON|C00457408|IND|WY|825209731
LEVIN, CARL|C00088484|DEM|MI|
CULP, KENNETH A|C00490763|REP|WV|26651
STUART, MARIELENA|C00503623|REP|FL|34108
CHRISTIAN, DAVID|C00500116|REP|PA|18977
CARLSON, DAVID|C00526434|REP|MN|55125
MARVIN, LARRY|C00502542|DEM|NE|68025
MANDEL, JOSH|C00494930|REP|OH|44124
SANTORUM, RICHARD J|C00365106|REP|PA|
WILSON, FREDRICK PHILLIP RICK|C00496398|REP|MI|48439
LEWIS, KENNETH WINSTEAD|C00462838|DEM|NC|27713
BURR, RICHARD M|C00385526|REP|NC|271135928
LUKSIK, PEG|C00459891|REP|PA|15807
MIMS, TIFFANI  EL DAWN|C00466193|REP|TX|752373213
SPECTER, ARLEN|C00280206|DEM|PA|19122
LUSTGARTEN, STEVEN PAUL|C00510040|DEM|NE|68152
HADLEY, RAKEIM J|C00467241|DEM|GA|30013
DABNEY, COREY|C00468728|NNE|IL|60503
CHADWICK, MICHAEL L|C00483156|REP|ID|83877
ASH, DALE TIMOTHY|C00509497|REP|UT|84092
NOLAN, DAVID F|C00484600|LIB|AZ|85750
LINKER, IAN S|C00496380|REP|NJ|07451
FISCHER, GREGORY EDWARD|C00444687|DEM|KY|40204
OIFER, TODD MONTGOMERY|C00464313|UNK|FL|33897
BOOK, ETHAN|C00482273|REP|CT|06825
STENBERG, DON|C00493858|REP|NE|
HOWARD, JASON DAVID|C00459438|REP|OH|45315
MANGELLI, JOHN|C00515619|IND|NY|11709
LYON, JOHN JEFFREY|C00507129|REP|AZ|85301
FISCHER, DEBRA S|C00498907|REP|NE|69201
FIORINA, CARLY|C00469924|REP|CA|95814
BUCK, KENNETH R|C00461368|REP|CO|802501465
CURRAN, JOHN F (JEF)|C00468736|REP|MD|21093
KOHL, HERB MR|C00203521|DEM|WI|53202
GILLIBRAND, KIRSTEN ELIZABETH|C00413914|DEM|NY|12180
DORGAN, BYRON L|C00143438|DEM|ND|58501
HEITKAMP, HEIDI|C00505552|DEM|ND|58554
MONDESIR, ENO|C00515502|DEM|MA|02368
NEUMANN, MARK W|C00501361|REP|WI|53058
WALL, TERRENCE R|C00469056|REP|WI|53562
COFFEE, GERALD L|C00426452|REP|HI|96701
TASINI, JONATHAN|C00462598|DEM|NY|10033
RIGGS, BRUCE RAY|C00480988|NNE|FL|34428
JOHNSON, JAN|C00486084|IND|NY|10023
TAITZ, ORLY DR|C00505206|REP|CA|92688
MORAN, JERRY|C00458315|REP|KS|
LEPPERT, THOMAS C|C00493536|REP|TX|75220
EXON, J JAMES|C00088120|DEM|DC|20510
STROUPE, DAVID WAYNE JR|C00508846|IND|VA|23072
